Provincia;Comunidad_autonoma
Albacete;Castilla-La Mancha
Alicante;Comunidad Valenciana
Almería;Andalucía
Asturias;Asturias
Badajoz;Extremadura
Barcelona;Cataluña
Burgos;Castilla y León
Cantabria;Cantabria
Castellón;Comunidad Valenciana
Ciudad Real;Castilla-La Mancha
Cuenca;Castilla-La Mancha
Cáceres;Extremadura
Cádiz;Andalucía
Córdoba;Andalucía
Gerona;Cataluña
Granada;Andalucía
Guadalajara;Castilla-La Mancha
Guipúzcoa;País Vasco
Huelva;Andalucía
Huesca;Aragón
Islas Baleares;Islas Baleares
Jaén;Andalucía
La Coruña;Galicia
La Rioja;La Rioja
Las Palmas;Canarias
León;Castilla y León
Lleida;Cataluña
Lugo;Galicia
Madrid;Comunidad de Madrid
Murcia;Región de Murcia
Málaga;Andalucía
Navarra;Navarra
Orense;Galicia
Palencia;Castilla y León
Pontevedra;Galicia
Salamanca;Castilla y León
Santa Cruz de Tenerife;Canarias
Segovia;Castilla y León
Sevilla;Andalucía
Soria;Castilla y León
Tarragona;Cataluña
Teruel;Aragón
Toledo;Castilla-La Mancha
Valencia;Comunidad Valenciana
Valladolid;Castilla y León
Vizcaya;País Vasco
Zamora;Castilla y León
Zaragoza;Aragón
Álava;País Vasco
Ávila;Castilla y León
